,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,-72.0,-70.0,-78.0,-78.0,-71.0,-72.0,-71.0,-79.0,-79.0,-78.0,-70.0,-79.0,-80.0,-79.0,-69.0,-71.0,-78.0,-79.0,-78.0,-79.0,-79.0,-79.0,-70.0,-68.0,-71.0,-76.0,-78.0,-80.0,-79.0,-71.0,-77.0,-82.0,-79.0,-69.0,-79.0,-79.0,-83.0,-79.0,-95.0,-68.23346303501945,-95.0,-68.67054263565892,-95.0,-67.4870283018868,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
1,-67.25,-69.0,-80.5,-77.25,-69.5,-68.25,-67.25,-79.0,-80.75,-80.25,-68.75,-79.25,-77.75,-79.0,-95.0,-67.0,-80.5,-81.25,-77.25,-79.0,-79.0,-77.25,-69.0,-68.0,-69.75,-75.5,-77.25,-81.5,-79.0,-67.0,-64.9445564516129,-82.0,-95.0,-95.0,-79.0,-68.05708661417323,-83.0,-79.0,-95.0,-68.23346303501945,-95.0,-68.67054263565892,-95.0,-67.4870283018868,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
2,-66.0,-68.0,-79.0,-77.0,-69.0,-67.0,-67.0,-79.0,-79.0,-79.0,-68.0,-80.0,-77.0,-79.0,-95.0,-66.0,-79.0,-80.0,-77.0,-79.0,-79.0,-78.0,-69.0,-68.0,-69.0,-76.0,-77.0,-80.0,-79.0,-67.0,-64.9445564516129,-82.0,-79.0,-95.0,-79.0,-79.0,-83.0,-79.0,-79.0,-68.23346303501945,-95.0,-68.67054263565892,-95.0,-67.4870283018868,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
3,-65.0,-69.0,-83.0,-77.0,-69.0,-66.0,-64.0,-79.0,-83.0,-83.0,-69.0,-79.0,-77.0,-79.0,-69.0,-64.0,-83.0,-83.0,-77.0,-79.0,-79.0,-78.0,-68.0,-68.0,-69.0,-76.0,-77.0,-83.0,-79.0,-65.0,-82.0,-82.0,-95.0,-95.0,-79.0,-68.05708661417323,-83.0,-79.0,-79.0,-68.23346303501945,-95.0,-68.67054263565892,-95.0,-67.4870283018868,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
4,-66.0,-69.0,-82.0,-77.0,-69.0,-68.0,-67.0,-79.0,-82.0,-81.0,-68.0,-79.0,-77.0,-79.0,-69.0,-67.0,-82.0,-83.0,-77.0,-79.0,-79.0,-74.0,-69.0,-68.0,-70.0,-74.0,-77.0,-83.0,-79.0,-65.0,-82.0,-82.0,-95.0,-95.0,-79.0,-68.05708661417323,-83.0,-79.0,-79.0,-68.23346303501945,-95.0,-68.67054263565892,-95.0,-67.4870283018868,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
5,-71.0,-73.0,-79.0,-74.0,-72.0,-72.0,-71.0,-79.0,-76.0,-79.0,-73.0,-79.0,-74.0,-79.0,-72.0,-71.0,-76.0,-77.0,-74.0,-74.0,-73.0,-74.0,-73.0,-73.0,-73.0,-73.0,-79.0,-79.0,-76.76741293532338,-72.0,-75.0,-75.0,-79.0,-95.0,-79.0,-79.0,-95.0,-79.0,-79.0,-79.0,-83.0,-79.0,-79.0,-67.4870283018868,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
6,-65.0,-72.0,-79.0,-73.0,-72.0,-66.0,-65.0,-79.0,-75.0,-79.0,-71.0,-79.0,-73.0,-79.0,-72.0,-64.0,-75.0,-75.0,-73.0,-72.0,-74.0,-73.0,-72.0,-71.0,-72.0,-73.0,-79.0,-79.0,-76.76741293532338,-72.0,-76.0,-76.0,-79.0,-95.0,-79.0,-79.0,-95.0,-79.0,-79.0,-79.0,-83.0,-79.0,-79.0,-67.4870283018868,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
7,-65.0,-72.0,-79.0,-75.0,-73.0,-65.0,-64.0,-79.0,-76.0,-79.0,-72.0,-79.0,-72.0,-79.0,-72.0,-64.0,-77.0,-77.0,-74.0,-73.0,-79.0,-76.0,-72.0,-73.0,-73.0,-73.0,-79.0,-79.0,-76.76741293532338,-65.0,-77.0,-77.0,-79.0,-95.0,-79.0,-68.05708661417323,-95.0,-79.0,-79.0,-68.23346303501945,-83.0,-79.0,-79.0,-67.4870283018868,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
8,-64.0,-72.0,-79.0,-72.0,-72.0,-66.0,-65.0,-79.0,-75.0,-79.0,-72.0,-79.0,-72.0,-79.0,-72.0,-65.0,-76.0,-75.0,-71.0,-71.0,-79.0,-72.0,-72.0,-72.0,-72.0,-72.0,-79.0,-79.0,-76.76741293532338,-65.0,-77.0,-75.0,-79.0,-95.0,-79.0,-68.05708661417323,-95.0,-79.0,-79.0,-68.23346303501945,-83.0,-79.0,-79.0,-67.4870283018868,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
9,-66.0,-72.0,-76.0,-74.0,-72.0,-67.0,-66.0,-79.0,-74.0,-76.0,-72.0,-79.0,-72.0,-79.0,-72.0,-66.0,-75.0,-76.0,-73.0,-73.0,-79.0,-73.0,-71.0,-72.0,-72.0,-73.0,-79.0,-77.0,-76.76741293532338,-65.0,-77.0,-75.0,-79.0,-95.0,-79.0,-68.05708661417323,-95.0,-79.0,-79.0,-68.23346303501945,-83.0,-79.0,-79.0,-67.4870283018868,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
